LOCALIDAD,CASOS_SIN_GRIPA,NINOS_ENCUESTADOS,SEXO,ESTRATO,ASEGURAMIENTO
San Cristóbal,5.0,32,Mujer,2,Subsidiado (EPSS)
San Cristóbal,1.0,3,Mujer,3,Subsidiado (EPSS)
Santa Fe,0.0,2,Hombre,1,Contributivo (EPS)
Santa Fe,2.0,16,Hombre,2,Contributivo (EPS)
Santa Fe,0.0,4,Hombre,3,Contributivo (EPS)
Santa Fe,0.0,1,Hombre,2,Régimen excepcional
Santa Fe,0.0,1,Hombre,1,Subsidiado (EPSS)
Santa Fe,6.0,28,Hombre,2,Subsidiado (EPSS)
Santa Fe,0.0,4,Hombre,3,Subsidiado (EPSS)
Santa Fe,0.0,2,Mujer,1,Contributivo (EPS)
Santa Fe,4.0,19,Mujer,2,Contributivo (EPS)
Santa Fe,1.0,2,Mujer,3,Contributivo (EPS)
Santa Fe,0.0,1,Mujer,2,Ninguno
Santa Fe,0.0,2,Mujer,1,Subsidiado (EPSS)
Santa Fe,1.0,19,Mujer,2,Subsidiado (EPSS)
Santa Fe,1.0,5,Mujer,3,Subsidiado (EPSS)
Suba,8.0,57,Hombre,2,Contributivo (EPS)
Suba,3.0,20,Hombre,3,Contributivo (EPS)
Suba,0.0,5,Hombre,4,Contributivo (EPS)
Suba,2.0,2,Hombre,5,Contributivo (EPS)
Suba,1.0,2,Hombre,2,Régimen excepcional
Suba,0.0,1,Hombre,3,Régimen excepcional
Suba,1.0,41,Hombre,2,Subsidiado (EPSS)
Suba,1.0,7,Hombre,3,Subsidiado (EPSS)
Suba,7.0,54,Mujer,2,Contributivo (EPS)
Suba,3.0,22,Mujer,3,Contributivo (EPS)
Suba,0.0,3,Mujer,4,Contributivo (EPS)
Suba,0.0,2,Mujer,5,Contributivo (EPS)
Suba,0.0,2,Mujer,2,Régimen excepcional
Suba,0.0,2,Mujer,4,Régimen excepcional
Suba,3.0,31,Mujer,2,Subsidiado (EPSS)
Suba,0.0,7,Mujer,3,Subsidiado (EPSS)
Sumapaz,2.0,9,Hombre,1,Contributivo (EPS)
Sumapaz,0.0,3,Hombre,1,Subsidiado (EPSS)
Sumapaz,0.0,2,Mujer,1,Contributivo (EPS)
Teusaquillo,1.0,2,Hombre,4,Contributivo (EPS)
Teusaquillo,0.0,1,Hombre,5,Contributivo (EPS)
Teusaquillo,0.0,2,Mujer,3,Contributivo (EPS)
Teusaquillo,0.0,7,Mujer,4,Contributivo (EPS)
Teusaquillo,0.0,3,Mujer,4,Subsidiado (EPSS)
Tunjuelito,7.0,41,Hombre,2,Contributivo (EPS)
Tunjuelito,2.0,6,Hombre,3,Contributivo (EPS)
Tunjuelito,0.0,1,Hombre,2,Régimen excepcional
Tunjuelito,0.0,1,Hombre,1,Subsidiado (EPSS)
Tunjuelito,7.0,25,Hombre,2,Subsidiado (EPSS)
Tunjuelito,1.0,3,Hombre,3,Subsidiado (EPSS)
Tunjuelito,5.0,26,Mujer,2,Contributivo (EPS)
Tunjuelito,1.0,3,Mujer,3,Contributivo (EPS)
Tunjuelito,0.0,1,Mujer,3,Ninguno
Tunjuelito,0.0,2,Mujer,2,Régimen excepcional
Tunjuelito,6.0,25,Mujer,2,Subsidiado (EPSS)
Tunjuelito,1.0,5,Mujer,3,Subsidiado (EPSS)
Usaquén,1.0,8,Hombre,1,Contributivo (EPS)
Usaquén,0.0,12,Hombre,2,Contributivo (EPS)
Usaquén,1.0,8,Hombre,3,Contributivo (EPS)
Usaquén,1.0,8,Hombre,4,Contributivo (EPS)
Usaquén,1.0,1,Hombre,5,Contributivo (EPS)
Usaquén,1.0,1,Hombre,1,Régimen excepcional
Usaquén,0.0,2,Hombre,2,Régimen excepcional
Usaquén,2.0,4,Hombre,1,Subsidiado (EPSS)
Usaquén,0.0,10,Hombre,2,Subsidiado (EPSS)
Usaquén,1.0,4,Hombre,3,Subsidiado (EPSS)
Usaquén,0.0,1,Hombre,4,Subsidiado (EPSS)
Usaquén,1.0,4,Mujer,1,Contributivo (EPS)
Usaquén,0.0,14,Mujer,2,Contributivo (EPS)
Usaquén,2.0,10,Mujer,3,Contributivo (EPS)
Usaquén,0.0,8,Mujer,4,Contributivo (EPS)
Usaquén,1.0,2,Mujer,5,Contributivo (EPS)
Usaquén,0.0,1,Mujer,6,Contributivo (EPS)
Usaquén,0.0,1,Mujer,1,Ninguno
Usaquén,0.0,1,Mujer,2,Régimen excepcional
Usaquén,0.0,1,Mujer,5,Régimen excepcional
Usaquén,1.0,4,Mujer,1,Subsidiado (EPSS)
Usaquén,0.0,6,Mujer,2,Subsidiado (EPSS)
Usaquén,1.0,2,Mujer,3,Subsidiado (EPSS)
Usme,8.0,41,Hombre,1,Contributivo (EPS)
Usme,6.0,22,Hombre,2,Contributivo (EPS)
Usme,1.0,2,Hombre,2,Régimen excepcional
Usme,8.0,40,Hombre,1,Subsidiado (EPSS)
Usme,2.0,11,Hombre,2,Subsidiado (EPSS)
Usme,9.0,44,Mujer,1,Contributivo (EPS)
Usme,8.0,22,Mujer,2,Contributivo (EPS)
Usme,1.0,2,Mujer,1,Régimen excepcional
Usme,1.0,3,Mujer,2,Régimen excepcional
Usme,8.0,37,Mujer,1,Subsidiado (EPSS)
Usme,2.0,20,Mujer,2,Subsidiado (EPSS)
